#  RunNo  LumiNo        EvtNo
  195757      66    106581597
  195165      83    111422476
  195165     106    142149256
  195165     145    193054329
  195552      90    155426394
  195165     205    269731231
  195552      36     64203703
  195251     236    402603377
  195303     122     48818660
  195303     147     95342890
  195303     222    232224989
  195530      90    143508715
  195303     250    280396321
  195378     139    140627402
  195378     332    420425050
  195304      98    138996322
  195304     204    276717476
  195378     568    708055880
  195378    1066   1188267991
  195304     609    755167239
  195304     640    784693089
  195304     986   1089430064
  195304    1083   1167225582
  195304    1121   1196578602
  195304    1097   1177627684
  195304    1132   1204523867
  195378     458    579625980
  195378     215    259472285
  195378     306    387005008
  195378     300    378979872
  195378     426    540499970
  195378     529    663328278
  195378     826    974116470
  195378     729    879575201
  195390      45     36937814
  195390     223    177843024
  195390      71     58327860
  195390      13     10484108
  195390     342    266921981
  195390     226    180052270
  195396      54     21715622
  195398    1488   1205539427
  195398    1295   1026911062
  195396     129    162005577
  195398      41     33998911
  195398     929    775257180
  195398    1575   1284751365
  195397     119    195635045
  195397     152    246403646
  195397     234    368037174
  195397     266    411748689
  195397     359    533538025
  195397     715    941715516
  195397    1004   1220005442
  195397     943   1164665477
  195398     269    223523294
  195398     151    117381198
  195398     395    341906226
  195398      34     28705808
  195398     660    567721445
  195398     210    166238575
  195655     460    504677636
  195774     629    977554362
  195398     996    823935053
  195774     395    671915571
  195398     965    801193109
  195398    1019    840065068
  195398    1052    863341931
  195774     793   1165571543
  195749      73    148222057
  195552     106    182025252
  195530     197    302825754
  195530     299    439855337
  195530     364    522668593
  195540     160    191874051
  195540     209    275069016
  195540     202    263545819
  195649     221    321095952
  195540     301    420326175
  195540     280    388438272
  195552     178    296525487
  195551     102     44714421
  195552     277    442323401
  195552    1646   1805996413
  195552     530    767233609
  195552     589    834223621
  195552    1363   1540325956
  195552     566    807952044
  195552     802   1057140645
  195552    1132   1350622757
  195552    1767   1909825992
  195552    1474   1648990943
  195758      17     25083700
  195757      47     75574417
  195552    1522   1694132552
  195757      37     61984895
  195757     125    206774828
  195649      12     17893542
  195649      13     20089545
  195649     120    179543238
  195649     136    202759330
  195655      31     38110268
  195655     155    184390485
  195655     180    212226266
  195656     316    278805321
  195656      28     25783374
  195774     304    537792927
  195656     350    306689006
  195658      95     83315323
  195658     285    265504795
  195774     751   1119190055
  195774     131    249510454
  195774      69    136232523
  195774      95    184876256
  195774     481    790152489
  195774     674   1030679199
  195775     113    105212011
  195776     282    232975347
  195841      81     41574458
  195915     139    248336664
  195868      87    150528904
  195868     100    171736275
  195868     174    287405789
  195915       5      7931250
  195915      23     41817737
  195915     274    460405671
  195915     145    257972296
  195915     149    265580891
  195915     201    348864717
  195915     380    610439561
  195915     306    508298518
  195915     387    620074495
  195915     331    543896323
  195915     341    556907482
  195915     698    999184348
  195915     667    964815607
  195915     711   1013924324
  195915     414    656397830
  195915     784   1090126381
  195916       3      2723623
  195916     183    174535874
  196203     102     84748499
  195923       4      2712742
  195948     246    418055795
  195930     221    183676704
