#  RunNo  LumiNo        EvtNo
  195915     711   1013924324
  195915     784   1090126381
  195916       3      2723623
  195916     183    174535874
  196203     102     84748499
  195948     246    418055795
  196453    1016    890606498
  195930     431    382333501
  196027      74    116198808
  196200      21     18780588
  196452     252    333605221
  196027      28     43412931
  195948      95    182539105
  195948     318    519492640
  195948     373    593442634
  195948     363    579618694
  195948     458    702201428
  195948     435    673787681
  195948     455    699441388
  196453     138    132657585
  195948     540    802383547
  195948     552    815660974
  196453     375    343668498
  196453     335    309318333
  195950       4      4394910
  195950     261    275484951
  195950     479    474547642
  195950     203    211541434
  195950     350    359619945
  195950     227    242104778
  195950     653    619434820
  195950     790    725759220
  195950    1303   1189634733
  196250      37     69466885
  195950    1286   1174720652
  195970      53     29090513
  196019      54     33418990
  196200      34     31230861
  196027      44     68812598
  196027      34     54285044
  196047       9     15834791
  196197     328    497991950
  196197     513    763667621
  196197     375    569352095
  196199     116    141519898
  196199     522    570581984
  196438      91     78957086
  196452     166    184377165
  196202       3      5244096
  196249      77     53888551
  196218     511    757214378
  196239     149    154119908
  196452     394    559147358
  196239     393    384406133
  196239     551    518994074
  196239     622    576261685
  196239     695    634008883
  196362      87    105133036
  196249      82     64300348
  196334     292    450825840
  196250     230    393290204
  196250     239    406165475
  196250     416    656315502
  196334     238    359638825
  196250     209    359423383
  196250     312    514439650
  196250     272    455981467
  196250     426    668332376
  196349     212    312176648
  196362      54     66089335
  196364    1121   1034447503
  196364     715    660888907
  196364     600    569327008
  196438     389    318149407
  196438     351    289075996
  196438     550    444820683
  196438     901    772011739
  196452     210    261688914
  196452     465    663096337
  196453     119    114042402
  196453     388    354595910
  196453     560    495717307
  196495     234    226369546
  196531     432    614535310
  199319      16     25242990
  199319     148    233280737
  199572      27     23395971
  199572     279    236394272
  199409     349    455007040
  199011       6      6021936
  198208      77     61306480
  198208      79     62600130
  199336     703    621456052
  198969     420    544636311
  198954     212    247185635
  198969     504    638300639
  199336     514    470288810
  198969     512    647138051
  198271     339    412573738
  198210      63     42544237
  198210      70     47528092
  198210     182    120189657
  198210      73     49536710
  199021     274    334022705
  198212     116     67113741
  199021     123    124735341
  198212     255    142678395
  199569      88    109670879
  198230     284    308496130
  198230     315    339242083
  198230     495    501275672
  198230     433    447300763
  198230     541    539572381
  198969     120    151524275
  199428     431    528489540
  198230    1018    884510066
  198230    1113    942902778
  198230    1325   1066312921
  198269     135    216678012
  198269      32     54208254
  199429     120    134212816
  198269     164    259866926
  198271     203    259084324
  198271     429    507293028
  198271     567    661447895
  198271     695    798126853
  198272     161    153109437
  199336     208    202933956
  198272     592    513225190
  198272     361    327800169
  198485     109     90236490
  198272     596    516137114
  198487     311    372728172
  198487     296    356484848
  199336     691    611954849
  199336     770    672790434
  199336      53     53526110
  198487     248    302985417
  198487     262    319256034
  198487     194    241074533
  198487    1098   1170465905
  198487     883    974074220
  198487    1264   1310181343
  198487     992   1076675676
  198487     974   1060727171
  198487    1150   1215657760
  198487    1581   1555235592
  198955     120    149444828
  198487    1489   1487026711
  199572      49     43103781
  198522     171    177317797
  198969     362    475927256
  198955     430    502234509
  198955     383    446237555
  198955     197    239122915
  198955     512    596584747
  198955    1274   1315635332
  199356     125     78002630
  198955    1353   1377998142
  198969     171    225215479
  198969     457    586745785
  198969    1053   1220277284
  198969    1159   1323582665
  199008      85     62889585
  199008     394    498551792
  199008     447    562750061
  199008     189    222579371
  199008     309    389845215
  199008     255    316594398
  199008     520    643127496
  199008     547    673553096
  199021     459    564342664
  199021     707    833509698
  199021     961   1114548424
  199021    1317   1455607345
  199021    1252   1397685267
  199021    1255   1400343782
  199318      67     34015247
