#  RunNo  LumiNo        EvtNo
  191226    1621   1907974362
  191247      29     40758231
  191247      29     41778231
  191247     238    351157785
  191247     496    685692850
  191247      59     90757842
  191247     294    428378845
  191247     693    914599493
  191247     697    919256309
  191247     697    919277709
  191247     152    228644056
  191247     165    247826837
  191247     186    277456559
  191247     348    500496859
  191247     143    214493140
  191247     465    647534158
  191247     442    619356233
  191247     373    532205283
  191247     634    849201825
  191247     290    422338177
  191247     519    714205024
  191247     438    614545973
  191247     376    536795275
  191247     429    603098034
  191247     429    603588866
  191247     464    646409981
  191247     467    649844279
  191247     301    437645000
  191247     332    478846780
  191247     332    479691578
  191247     386    548751503
  191247     527    723912099
  191247     581    787272035
  191247     382    544256521
  191247     385    548140365
  191247     513    705949577
  191247     421    593027747
  191247     550    750811568
  191247     381    543145322
  191247     508    700695633
  191247     509    701529859
  191247     493    681728088
  191247     554    755719259
  191247     583    789400233
  191247     518    712522435
  191247     576    781222423
  191247     632    846194921
  191247     752    979354028
  191247    1010   1240758515
  191247    1133   1354826399
  191247     638    853011873
  191247     656    873132260
  191247     706    929100802
  191247    1013   1243655354
  191247     663    880959743
  191247     682    902997541
  191247     651    867247265
  191247     655    871952930
  191247     698    920247313
  191247     737    962959268
  191247    1034   1263218290
  191247    1138   1360063936
  191247     688    908780286
  191247     710    933205635
  191247     944   1176396195
  191247     847   1078425117
  191247     790   1019197297
  191247    1098   1323392773
  191247    1168   1386780478
  191247     759    986328630
  191247     760    987744221
  191247    1150   1370994915
  191247     910   1142130630
  191247    1036   1265042848
  191247    1198   1413712985
  191247     792   1021041034
  191247     865   1096679308
  191247    1179   1396458980
  191247     896   1127840773
  191247    1092   1318072256
  191247    1094   1319233457
  191247     839   1069563286
  191247    1192   1408351798
  191247     785   1014068723
  191247     927   1159053466
  191247     955   1187473020
  191247     980   1211291186
  191718     182    226319667
  191726       5      1640156
  191726      11      4896116
  191830      56     19335338
  193192      64     20733133
  193192      84     38939399
  193207      55      9166101
  193207      60     12526867
  191277      37     35390367
  191277     103    103735928
  191277     115    115632682
  191277     164    164322403
  191277      42     40194103
  191277     662    586313913
  191277     701    615055074
  191277     705    618049242
  191277      41     39955806
  191277     108    108941670
  191718     105    123955532
  191248      79     64120828
  191248      80     65392917
  193334     116     87463480
  193334     117     88678497
  193557      11     10044779
  191264     108     97562017
  191264     159    167199972
  191264     112    102960492
  191264     180    195214442
  191810      42     63822732
  191271     133    120969426
  191833      31     36422055
  191271     344    377542159
  193621     613    550400646
  190659      37     13443826
  190659      37     13033323
  191201      44     39544661
  191046     216    291093748
  190906     195    182169811
  190906     246    244432988
  190906     254    254021782
  191046     146    200612066
  190906     224    217422739
  193541     160     77152400
  190906     203    192220793
  190733     342    378073205
  190738      86     79087903
  193541     394    250203520
  193541     593    374720966
  190733     214    217506486
  191057      36     38426237
  191834     133    162675455
  190679      16      8382569
  190782     385    482498538
  190679      26     14866531
  191856     129    109219133
  191856     131    111036356
  191856     131    111173621
  191856     132    112165962
  191859       6      2443896
  191859      12      7023776
  191859      17     10774421
  190679      45     27164275
  190705      82     80079771
  190949       8      4227376
  191856      32     26176666
  191046      66     84269993
  191834      70     84850201
  191837      28     25149365
  191837      28     25137084
  191837      28     25394513
  190707      50     51600674
  190782      97     82003099
  191202      30     45339275
  190705      20     15261963
  190705     183    223419131
  190705      86     84584919
  190705      86     84491913
  190782     100     87678906
  190782     101     87942003
  190782     102     90300259
  190705     164    195424216
  190782     155    171639538
  190705      97     97200764
  190705     119    129731963
  190705     323    417103100
  190782     249    304899008
  190705     145    168485645
  191202      16     20157934
  191202      16     20910403
  191202      19     25397844
  190782     131    135730016
  190705      48     45444553
  190782     135    140703449
  190705     114    122133193
  190782     261    320364459
  190782     300    373793504
  190705     347    448723705
  190705     187    228650038
  190705     173    209180354
  190705     174    210234141
  190782     221    266474074
  191856      42     34298522
  191856      49     40492987
  191859      13      7883099
  190705     193    237532766
  190782     211    252289539
  190782     310    386189842
  190705     208    259345436
  190705     229    289125627
  190705     230    289653204
  190705     264    337433161
  190705     327    422277255
  190705     334    431167427
  190782     305    380477881
  190705     346    446692118
  190949      21     20963792
  191856     102     86249933
  190782      60     22750374
  190782     207    245973842
  191859      20     13348331
  193207     111     46804065
  190705     306    394522738
  190782     213    254081067
  190782     218    261331217
  190782     380    476543046
  191856     107     90480516
  193207     149     70785934
  190782     389    487588624
  191859      58     43722157
  193575     498    383218306
  190706      65     72157473
  193336       2      1534260
  193336      47     38137341
  193336     129    102405420
  193336      95     76598429
  193336     257    196202411
  190706      62     67943639
  191277     834    710939877
  193336      22     17889241
  193336      23     18443941
  190706      66     73065725
  190706      68     75297965
  190706      68     75951041
  193336     344    254883510
  193336     513    360778592
  193336     514    361391855
  193336     228    175387770
  193336     757    536208878
  190706      77     86375742
  193575     564    429909203
  191277     841    715779152
  193336     125     99161410
  193336     169    132276525
  193336     170    133243097
  193336     164    128951846
  193336     520    364970266
  193336     187    145603682
  193336     877    626428939
  193336     108     85874410
  193336     237    181771656
  193336     251    191797853
  193336     264    200550428
  193336     111     88407281
  193336     317    236701283
  193336     330    245966775
  193336     346    256314905
  191720      32     31080843
  191062     327    354434444
  190707      22     19810500
  191202      21     29525798
  191202      56     92312253
  190707      36     35783007
  191830     141    182739147
  190707     195    208802923
  191202      51     83915346
  191202      61    101047672
  191202      61    100551717
  191202      61    100210111
  190707      31     30198457
  191202      87    146112863
  191202     112    187990175
  190782      77     49555784
  191830     213    309748433
  191830     224    328323330
  191830     269    402350925
  191202      40     63088430
  191202      90    151399476
  190707     198    211620285
  191830     132    166439086
  191830     137    175153955
  191830     197    281624992
  191830     197    281021479
  191830     248    367923770
  190707     172    184828593
  191062     391    417223079
  191830      70     46431445
  191830     185    260405994
  191202      32     50358175
  191202      32     49278923
  191830     149    196563138
  191830     280    419882801
  191830      71     49193014
  191830      71     48627977
  191830     166    226463771
  191830     166    227546016
  190707     201    214752744
  191202     110    184416057
  191202     110    185569634
  191830     160    215901633
  191830     209    302995805
  191202     111    186135232
  191062     317    344380626
  191830     114    131731260
  190782      86     64321792
  191830     375    567297620
  193621     633    566995595
  190708     135    126779219
  190708     137    128689177
  191271     113     93568946
  191271     124    109069638
  191718     130    158701842
  191271      75     39994150
  191718     191    236621124
  193334     172    136333423
  190708      49     44191116
  191271      77     42919015
  190708      67     61798435
  191810      55     86878625
  191718     112    133711929
  190708      77     72064438
  191718     128    155296820
  191718     147    181317287
  191718     173    214187649
  191718     184    228129785
  190708      87     81043780
  191718      49     41133426
  193557      72     68164829
  191810      33     48762545
  191810      48     73823183
  193334     112     83482983
  193334     112     84032376
  191718      71     73770106
  191718      71     74254707
  191248      35     27457418
  191271     202    210648849
  191271     273    297156757
  190708     188    176301541
  191271      86     56478361
  191271     137    126056112
  191271     184    187288021
  191271     250    268599504
  193575     427    330515704
  190733     151    133359410
  190733     295    320738553
  190733     231    239021823
  190733     231    239232532
  190733     157    141438085
  190906     261    261347821
  193541     175     89570218
  191046     197    266452312
  193123       2      1019041
  190906     148    121585014
