#  RunNo  LumiNo        EvtNo
  207099    1023   1332633898
  207214     349    557757307
  207214     706   1021556632
  207214     745   1065309806
  206446     139    140441501
  207231     531    802283732
  207231     654    960128084
  207231    1137   1500735979
  207279     253    370183210
  207233      52     46042892
  207889      41     41605365
  207372     193    298396290
  207279     340    502798862
  207454    1579   1938013362
  207279     790   1059983882
  207372     249    376448313
  207454    1443   1812999161
  207454    1579   1938013362
  207469       1      1749647
  207515    1049   1451554436
  207477     540    841072024
  207487     262    433319309
  207488      72     94839121
  207488     169    214485669
  207515     408    646485843
  207920     339    513614523
  207517      40     42085118
  205921      27     40415787
  208307      92    155663514
  207889      41     41605365
  207889     362    390369537
  207889     534    556413295
  207889     456    483338815
  208487      14     20804066
  207279     340    502798862
  208487     346    557722739
  207920     130    148658609
  207905    1746   2017660957
  206187     112     78664821
  207920     692    992050466
  208427      98    134297206
  208427     494    750887661
  208427     560    834547450
  208428      18     21707822
  208429     407    433132864
  208429     525    542424933
  208487     516    775493849
  208487     536    799885563
  208551     318    526800578
# Total events 360
